Language,Hits
To,305
One,263
English,224
As,96
U,62
E,61
Ama,53
Spanish,37
Ari,36
Even,34
Sam,34
Day,17
German,16
Meta’,14
Arabic,14
Na,12
French,11
Mann,10
Mayo,8
Male,8
Label,7
Turkish,6
Ir,6
Chinese,5
Portuguese,4
Croatian,4
Tha,4
Pe,4
Dutch,4
Nasal,4
Logo,4
Irish,3
Wa,3
Una,2
Con,2
Kannada,2
Anal,2
En,2
Sa,2
Italian,2
So,2
Sui,2
Lau,2
Polish,1
Greek,1
Sake,1
Shan,1
Siri,1
Achi,1
Samaritan,1
Sari,1
Hebrew,1
Ak,1
Abu,1
Ha,1
Au,1
Baré,1
Chin,1
Latin,1
Malayalam,1
Norwegian,1
Danish,1
Kap,1
Alabama,1
Persian,1
So’a,1
Bit,1
Colorado,1
Od,1
Cua,1
Hindi,1
Russian,1
Alta,1
Ata,1
She,1
Maltese,1
Crow,1
Ga,1
Maori,1
Kim,1
Shabak,0
Umiida,0
Tereweng,0
Lillooet,0
Koalib,0
Gokana,0
Walla Walla,0
Arma,0
Asurini of Xingú,0
Lendu,0
Malo,0
Principense,0
Duruwa,0
Tzeltal,0
Kanju,0
ut-Ma’in,0
Erokwanas,0
Natioro,0
Rangkas,0
Melpa,0
Kakwa,0
Kibet,0
Nyamwezi,0
Ta’oih,0
Laghu,0
Miu,0
Ranglong,0
Seroa,0
Teke,0
Dhargari,0
Parkwa,0
Tswapong,0
Cheke Holo,0
Guayabero,0
Namiae,0
Nomatsigenga,0
Demisa,0
Papar,0
Vai,0
Mashco Piro,0
Kuvale,0
Lou,0
Lohar,0
Ishkashimi,0
Unserdeutsch,0
Qabiao,0
Walmajarri,0
Sáliba,0
Laomian,0
Karitiâna,0
Langbashe,0
Sikaiana,0
Dhangu-Djangu,0
Wersing,0
Boikin,0
Andra-Hus,0
Mongo-Nkundu,0
Kapinawá,0
Takua,0
Pannei,0
Chamari,0
Alagwa,0
Ntomba,0
Tonsea,0
Nggem,0
Mbowe,0
Namibian Sign Language,0
Kambaata,0
Thao,0
Malay,0
Nhanda,0
Koroni,0
Gula Iro,0
Matbat,0
Temiar,0
Kanembu,0
Hajong,0
Afade,0
Gitua,0
Tanggu,0
Uru-Eu-Wau-Wau,0
Ila,0
Latvian Sign Language,0
Sateré-Mawé,0
Nya Huba,0
Lavukaleve,0
Skepi Creole Dutch,0
Teke-Tsaayi,0
Abadi,0
Kuna,0
Paliyan,0
Wolaytta,0
Isu,0
Sri Lankan Sign Language,0
Wamas,0
Kula,0
Minidien,0
Bathari,0
Silopi,0
Mandar,0
Sebat Bet Gurage,0
Ghadamès,0
Sicilian,0
Thurawal,0
Sadri,0
Benyadu’,0
Midob,0
Menya,0
Bomitaba,0
Kutto,0
Njalgulgule,0
Haryanvi,0
Zimbabwe Sign Language,0
Iraya,0
Sebuyau,0
Nukeria,0
Bisu,0
Aché,0
Xiriâna,0
Diriku,0
Mugom,0
Pasi,0
Warapu,0
Bundeli,0
Aruek,0
Pontic,0
Inga,0
Sinyar,0
Malol,0
Paiwan,0
Kanu,0
Palikúr,0
Lucumi,0
Hibito,0
Kung-Ekoka,0
Broome Pearling Lugger Pidgin,0
Tuxá,0
Torona,0
Bilaspuri,0
Veps,0
Bobongko,0
Tawara,0
Ubi,0
Kuanhua,0
Mbugwe,0
Kodava,0
Tifal,0
Dugwor,0
Louisiana Creole,0
Cuiba,0
Twana,0
Abenaki,0
Enawené-Nawé,0
Khaling,0
Ziriya,0
Parakanã,0
Tabla,0
Lelak,0
Yango,0
Kire,0
Baikeno,0
Achagua,0
Kaningra,0
Naba,0
Moikodi,0
Kucong,0
Biangai,0
Mutu,0
Nzakara,0
Isaka,0
Jula,0
Urim,0
La’bi,0
Kamo,0
Ngantangarra,0
Koya,0
Choctaw,0
Kacchi,0
Kanoé,0
Igede,0
Zinza,0
Lobala,0
Iwaidja,0
Marik,0
Melo,0
Chamorro,0
Mualang,0
Laura,0
Alyawarr,0
Koko Babangk,0
Chamalal,0
Hano,0
Uyghur,0
Zangwal,0
Umbundu,0
Dikaka,0
Popoluca,0
Onin,0
Coeur d’Alene,0
Parachi,0
Paicî,0
Kalao,0
Jandavra,0
Borna,0
Jina,0
Tsaukambo,0
Morigi,0
Simbari,0
Baba,0
Tanimuca-Retuarã,0
Mbum,0
Makhuwa-Marrevone,0
Dolgan,0
Waxianghua,0
Fulfulde,0
Kangean,0
Phuong,0
Pushto,0
Umatilla,0
Nobiin,0
Mbay,0
O’chi’chi’,0
Dororo,0
Berinomo,0
Yelogu,0
Igwe,0
Bungain,0
Gowlan,0
Guwa,0
Borong,0
Jakalteko,0
Koy Sanjaq Surat,0
Xibe,0
Sinicized Miao,0
Tofanma,0
Repanbitip,0
Kituba,0
Krio,0
Wané,0
Adithinngithigh,0
Brahui,0
Turumsa,0
Scots,0
Buso,0
Wojenaka,0
Phuan,0
Deno,0
Eloyi,0
Kowiai,0
Teke-Laali,0
New Zealand Sign Language,0
Gwahatike,0
Sawi,0
Kashaya,0
Tatar,0
Nakai,0
Warungu,0
Nake,0
Bila,0
Puerto Rican Sign Language,0
Yali,0
Nete,0
Ngbaka Ma’bo,0
Teor,0
Jad,0
Ukuriguma,0
Yagara,0
Bunama,0
Mapia,0
Angika,0
Likuba,0
Chippewa,0
Betaf,0
Phula,0
Bwela,0
Kélé,0
Mari,0
Tai Daeng,0
Barbareño,0
Katua,0
Kursav,0
Tobilung,0
Wedau,0
Iatê,0
Nubaca,0
Tal,0
Chuj,0
Emai-Iuleha-Ora,0
Beti,0
Kakabe,0
Rawang,0
Bullom So,0
Minangkabau,0
Vangunu,0
Tswana,0
Gongduk,0
Aka-Bo,0
Inuktitut,0
Shua,0
Yamdena,0
Mongondow,0
Roma,0
Yuhup,0
Mazahua,0
Gimnime,0
Towei,0
Kamantan,0
Tutchone,0
Ngaanyatjarra,0
Ahtena,0
Nanubae,0
Nande,0
Tairora,0
Gabri,0
Kare,0
Senhaja Berber,0
Lelepa,0
Karachay-Balkar,0
Kurti,0
Epie,0
Aukan,0
Taíno,0
Guarayu,0
Gamit,0
Banda-Ndélé,0
Wotu,0
Papasena,0
Babar,0
Taupota,0
Pare,0
Warwar Feni,0
Kandawo,0
Kami,0
Apiaká,0
Tedaga,0
Puragi,0
Punan Batu,0
Mbelime,0
Laz,0
Haitian Vodoun Culture Language,0
Ga’anda,0
Chru,0
Guarequena,0
Bandi,0
Lohorung,0
Yuanga,0
Latu,0
Tonga,0
Breri,0
Hovongan,0
Tairaha,0
Amba,0
Rongpo,0
Bahinemo,0
Gugadj,0
Yinbaw,0
Tokelauan,0
Aralle-Tabulahan,0
Mawchi,0
Tutuba,0
Syriac,0
Sylheti,0
Cofán,0
Khetrani,0
Mamasa,0
Basap,0
Polish Sign Language,0
Wayoró,0
Topoiyo,0
Kipsigis,0
Arammba,0
Trió,0
Subtiaba,0
Nabak,0
Kakanda,0
Ukpe-Bayobiri,0
Nchumbulu,0
Makonde,0
Angal,0
Macaguán,0
Daba,0
Lahanan,0
Makayam,0
Tairuma,0
Biao Mon,0
Koro Wachi,0
Kuuk-Yak,0
Keninjal,0
Kaili,0
Kereho,0
Baki,0
Tututni,0
Mesaka,0
Phu Thai,0
Gurdjar,0
Awajún,0
Bindal,0
Rerep,0
E’ñapa Woromaipu,0
Jehai,0
Mo,0
Adasen,0
Zanaki,0
Ararandewára,0
Niuafo’ou,0
Dizin,0
Oorlams,0
Duriankere,0
Haruku,0
Tirahi,0
Kuni-Boazi,0
Imonda,0
Anuki,0
Nimanbur,0
Farefare,0
Yevanic,0
Krikati-Timbira,0
Yangum Gel,0
Somba-Siawari,0
Fuliiru,0
Wan,0
Ju,0
Kuthant,0
Dibole,0
Edolo,0
Elip,0
Lampung Nyo,0
Byangsi,0
Bomboli,0
Isekiri,0
Ekegusii,0
Jakun,0
Sinasina,0
Ramoaaina,0
Bua,0
Worimi,0
Dao,0
Dimbong,0
Usaghade,0
Awa,0
Leyigha,0
Yagomi,0
Lokoya,0
Gadang,0
Kirike,0
Kwese,0
Zialo,0
Lambadi,0
Yendang,0
Swati,0
Jaitmatang,0
Bole,0
Terei,0
Tuyuca,0
Mazagway,0
Dzodinka,0
Sirionó,0
Kusaghe,0
Vale,0
Sause,0
Oluluyia,0
Konongo,0
Laragia,0
Romkun,0
Yiningayi,0
Fang,0
Garlali,0
Wemba Wemba,0
Sula,0
Sharwa,0
Lishanid Noshan,0
Beneraf,0
Mangue,0
Mizo,0
Bunaba,0
Arabana,0
Enxet,0
Esperanto,0
Javanese,0
Bolinao,0
Mandeali,0
Laka,0
Camtho,0
Koke,0
Lauje,0
Ghanaian Pidgin English,0
Nyahkur,0
Dhao,0
Nkonya,0
Aduge,0
Biseni,0
Huli,0
Ludian,0
Buhid,0
Mandahuaca,0
Bisorio,0
Awyu,0
Babango,0
Ralte,0
Ngarluma,0
Czech,0
Jola-Fonyi,0
Hatam,0
Tikar,0
Lamenu,0
Asurini,0
Bonkeng,0
Fasu,0
Maléku Jaíka,0
Kein,0
Phunoi,0
Oriya,0
Bukwen,0
Mosimo,0
Hindko,0
Manggarai,0
Kenyang,0
Swiss-German Sign Language,0
Nungali,0
Pashai,0
Ngawun,0
Nyam,0
Dori’o,0
Pekal,0
Ese Ejja,0
Lumbee,0
Kurux,0
Paama,0
Ontenu,0
Degaru,0
Tobian,0
Sherbro,0
Pashto,0
Hdi,0
Matsigenka,0
Bondei,0
Marti Ke,0
Mokpwe,0
Miami,0
Guntai,0
Makwe,0
Bulungan,0
Karkar-Yuri,0
Agariya,0
Osatu,0
Miya,0
Chambri,0
Birked,0
Matal,0
Rawo,0
Kalumpang,0
Baluchi,0
Dadiya,0
Ainbai,0
Awara,0
Laki,0
Elepi,0
Birifor,0
Wageman,0
Kuria,0
Rangpuri,0
Kenga,0
Kaansa,0
Pááfang,0
Nubi,0
Nahavaq,0
Nyole,0
Benabena,0
Doko-Uyanga,0
Gimi,0
Akei,0
Manda,0
Czech Sign Language,0
Karey,0
Wik-Epa,0
Ilue,0
Ikaranggal,0
Burmese,0
Shasta,0
Jola-Felupe,0
Sengseng,0
Dano,0
Medebur,0
Dii,0
Tampuan,0
Rembong,0
Ladakhi,0
Yanomamö,0
Phuza,0
Lalo,0
Máku,0
Koro,0
Puri,0
Arbore,0
Karbi,0
Ohlone,0
Nkongho,0
Kinga,0
Nyishi,0
Numana-Nunku-Gbantu-Numbu,0
Iku-Gora-Ankwa,0
K’iche’,0
Alaba-K’abeena,0
Jarai,0
Zuni,0
Besme,0
Pak-Tong,0
Malaryan,0
Sentinel,0
Tem,0
Bomwali,0
Bilba,0
Limburgish,0
Rejang,0
Saami,0
Turka,0
Aka-Kora,0
Olo,0
Bouyei,0
Coos,0
Alugu,0
Malgana,0
Bafut,0
Kumal,0
Walangama,0
Mmen,0
Anii,0
Ditammari,0
Zangskari,0
Aka-Jeru,0
Pintupi-Luritja,0
Lihir,0
Okinawan,0
Kpelle,0
Pangkhua,0
Pawaia,0
Jalkunan,0
Gebe,0
Belanda Bor,0
Ongota,0
Koi,0
Nyang’i,0
Nama,0
Penrhyn,0
Kakabai,0
Konkomba,0
Waimaha,0
Mundani,0
Javindo,0
Comox,0
Folopa,0
Marovo,0
Olrat,0
Serua,0
Dusun Witu,0
Djinba,0
Nisga’a,0
Dhatki,0
Dime,0
Inapang,0
Media Lengua,0
Ehueun,0
Boko,0
Cupeño,0
Carrier,0
Ngalum,0
Mangbetu,0
Amanab,0
Eyak,0
Loko,0
Agoi,0
Cabécar,0
Nkangala,0
Swiss-Italian Sign Language,0
Dumun,0
Kunyi,0
Bum,0
Caquinte,0
Kuku-Ugbanh,0
Ngamo,0
Ngomba,0
||Xegwi,0
Montol,0
Nuu-chah-nulth,0
Punu,0
Kouya,0
Cholón,0
Totoli,0
Duke,0
Bangwinji,0
Mangarayi,0
Monumbo,0
Ngamini,0
Pumé,0
Kisi,0
Port Vato,0
Bishuo,0
Makasae,0
Isebe,0
Oti,0
Egyptian Sign Language,0
Tjurruru,0
Zakhring,0
Tawbuid,0
Hidatsa,0
Wampur,0
Ngadjuri,0
Nimbari,0
Anong,0
Makhuwa-Meetto,0
Pankararé,0
Kaimbé,0
Suundi,0
Zapotec,0
Khana,0
Waris,0
Kamoro,0
Hoyahoya,0
Surubu,0
Parsi,0
Gula,0
Naki,0
Lopa,0
Wik-Mungkan,0
Kok-Nar,0
Mapudungun,0
Sou Upaa,0
Barngarla,0
Kungkari,0
Seta,0
Kunggari,0
Kedang,0
Belait,0
Gbari,0
Yuwana,0
Nasu,0
Alak,0
Ede Cabe,0
Wadjabangayi,0
Ten’edn,0
Oune,0
Dixon Reef,0
Ndunda,0
Luna,0
Mbulungish,0
Ikwo,0
Womo,0
Tohono O’odham,0
Samberigi,0
Dambi,0
Dirim,0
Jarawa,0
Morouas,0
Ndebele,0
Banjar,0
Bongu,0
Badeshi,0
Tomadino,0
Gilaki,0
Moksha,0
Kwesten,0
Talaud,0
Tamang,0
Waja,0
Gros Ventre,0
Wom,0
Ngbaka,0
Ejagham,0
Luxembourgish,0
Kei,0
Mahou,0
Sauria Paharia,0
Harari,0
Moo,0
Gurmana,0
Gureng Gureng,0
Mer,0
Bamunka,0
Ashtiani,0
Tsat,0
Kugama,0
Wanap,0
Urhobo,0
Kamberau,0
Hwana,0
Miani,0
Idere,0
Oya’oya,0
Ntcham,0
Andegerebinha,0
Irigwe,0
Yalarnnga,0
Sedang,0
Konda-Dora,0
Urigina,0
Parsi-Dari,0
Lumun,0
Shwai,0
Yugoslavian Sign Language,0
Biri,0
Ogbronuagum,0
Ecuadorian Sign Language,0
Ijo,0
Ngiemboon,0
Ajië,0
Tai Khang,0
Telugu,0
Kodia,0
Bekwel,0
Unggaranggu,0
Bebeli,0
Budong-Budong,0
Birri,0
Warnang,0
Oro,0
Uma’ Lasan,0
Vono,0
Maa,0
Nkari,0
Dawera-Daweloor,0
Mbula,0
Ngbinda,0
Birgit,0
Mararit,0
’Auhelawa,0
Long Wat,0
Mele-Fila,0
Yan-nhangu Sign Language,0
Molale,0
Hmong,0
Koasati,0
Dibiyaso,0
Kibiri,0
Badimaya,0
Fali of Baissa,0
Mohawk,0
Sumbwa,0
Tami,0
Amal,0
Mofu-Gudur,0
Rempi,0
Jiba,0
Barai,0
Tajio,0
Ligbi,0
Kariyarra,0
Kuamasi,0
Ali,0
Lenakel,0
Pakaásnovos,0
Pitjantjatjara,0
Olukhayo,0
Makhuwa-Shirima,0
Khanty,0
Komi,0
Wathawurrung,0
Savosavo,0
Samei,0
Lembata,0
Bolivian Sign Language,0
Kallahan,0
Mapun,0
Baruga,0
Acipa,0
Toku-No-Shima,0
Nomlaki,0
Maria,0
Zaghawa,0
Dumpas,0
Bantik,0
Taiap,0
Yuki,0
Gbanu,0
Luidakho-Luisukha-Lutirichi,0
Konomala,0
Jur Modo,0
Cia-Cia,0
Sinaugoro,0
Bhatri,0
Kunbarlang,0
Ngunawal,0
Mono,0
Bolia,0
Pame,0
Mander,0
Manyika,0
Gbiri-Niragu,0
Selaru,0
Marithiel,0
Bola,0
Mantsi,0
Tumzabt,0
Lahu Shi,0
Shoshoni,0
Mannan,0
Aranda,0
Tsikimba,0
Lufu,0
Lulogooli,0
Bolyu,0
Yasa,0
Ahwai,0
Wolani,0
Amri Karbi,0
Madura,0
Utugwang-Irungene-Afrike,0
Mwan,0
Kamaru,0
Zoque,0
Biafada,0
Litzlitz,0
Estonian,0
Hijuk,0
Nyindu,0
Waata,0
Dhaiso,0
Luvale,0
Yidgha,0
Yoy,0
Yotti,0
Nyenkha,0
Bakairí,0
Ganzi,0
Ketum,0
Geme,0
Yetfa,0
Cakfem-Mushere,0
Babatana,0
Tarahumara,0
Molbog,0
Ngendelengo,0
Wayuu,0
Sarasira,0
Dagbani,0
Opata,0
Teke-Fuumu,0
Mandari,0
Maramba,0
Bwa,0
Saterfriesisch,0
Gourmanchéma,0
Seimat,0
Mandandanyi,0
Paloor,0
Norwegian Sign Language,0
Bafanji,0
Nahuat,0
Belize Kriol English,0
Tengger,0
Ngelima,0
Lipo,0
Nhuwala,0
Tojolabal,0
Shark Bay,0
Coptic,0
Vao,0
Tektiteko,0
Romagnol,0
Welsh,0
Kyrgyz,0
Malaynon,0
Ukwuani-Aboh-Ndoni,0
Latgalian,0
Sirmauri,0
Turkana,0
Buduma,0
Olulumo-Ikom,0
Albanian Sign Language,0
Suma,0
Tsuvadi,0
Saleman,0
Mambwe-Lungu,0
Tewe,0
Kayan Mahakam,0
Papora-Hoanya,0
Wasco-Wishram,0
Ngam,0
Batak,0
Gende,0
Tavoyan,0
Beezen,0
Tokano,0
Wannu,0
Lokaa,0
Dilling,0
Sere,0
Gowli,0
Maridan,0
Likum,0
Cubeo,0
Kaingáng,0
Karaim,0
Oniyan,0
Mum,0
Àhàn,0
Sarudu,0
Sur,0
Pataxó Hã-Ha-Hãe,0
Gugu Badhun,0
Magoma,0
Wapan,0
Gayo,0
Ulwa,0
Iñapari,0
Awu,0
Toram,0
Nivaclé,0
Kwamera,0
Yipma,0
Kukna,0
Chong,0
Guébie,0
Vod,0
Wulna,0
Mengen,0
Xokleng,0
Araweté,0
Makah,0
Kayupulau,0
Ikulu,0
Hmar,0
Tunia,0
Khmu,0
Sikiana,0
Minokok,0
Wambule,0
Kaqchikel-K’iche’ Mixed Language,0
Kisan,0
Cafundo Creole,0
Segeju,0
Sibe,0
Libido,0
Neko,0
Keres,0
Heiban,0
Halang Doan,0
Moldova Sign Language,0
Naro,0
Kpagua,0
Waneci,0
Macushi,0
Meriam,0
Ito,0
Nyelâyu,0
Iguta,0
Yaouré,0
Ju|’hoansi,0
Bainouk-Gunyaamolo,0
Semnani,0
Morom,0
Leningitij,0
Nhirrpi,0
Bada,0
Kwaza,0
Garifuna,0
Kako,0
Romano-Serbian,0
Buksa,0
Umeda,0
Yerakai,0
Adzera,0
Suruí do Pará,0
Eman,0
Xârâcùù,0
Wagdi,0
Nakanai,0
Kudmali,0
Agarabi,0
Koch,0
Thompson,0
Tulu,0
Djauan,0
Saurashtra,0
Liberian English,0
Saweru,0
Bhunjia,0
Kuke,0
Ganggalida,0
Yinwum,0
Gofa,0
Tabasaran,0
Akar-Bale,0
Waruna,0
Chamicuro,0
Kalanga,0
Awetí,0
Dyaberdyaber,0
Davawenyo,0
Lamboya,0
Tsakhur,0
Lachi,0
Kiorr,0
Hamtai,0
Nyoro,0
Alutor,0
Subanen,0
Totoro,0
Piapoco,0
Hangaza,0
Yemsa,0
Costa Rican Sign Language,0
Hanunoo,0
Tinputz,0
Remo,0
Wemale,0
Keyagana,0
Tai Nüa,0
Ogea,0
Campalagian,0
Kol,0
Jogi,0
Doyayo,0
Afrikaans,0
Binji,0
Kyaka,0
Indri,0
Rerau,0
International Sign,0
Enlhet,0
Dari,0
Sene,0
Daju,0
Zokhuo,0
Dangme,0
Uradhi,0
Miriwung,0
Iha,0
Tarok,0
Pam,0
Tolaki,0
Tetete,0
Munda,0
Moklen,0
Samaritan Aramaic,0
Ndom,0
Wanukaka,0
Tamki,0
Drubea,0
Mehri,0
Oruma,0
Duupa,0
Abua,0
Enets,0
Mayangna,0
Tabaru,0
Yuru,0
Gela,0
Nachering,0
Ikpeshi,0
Ukrainian Sign Language,0
Bushoong,0
Ayizi,0
Titan,0
Tanana,0
Homa,0
Soli,0
Yombe,0
Kubu,0
Agutaynen,0
Bellari,0
Blagar,0
Sininkere,0
Taroko,0
Wandamen,0
Manna-Dora,0
Siwai,0
Etkywan,0
Lyngngam,0
Tukumanféd,0
Hamer-Banna,0
Sipakapense,0
Antakarinya,0
Humla,0
Orang Kanaq,0
Djambarrpuyngu,0
Kumam,0
Ritarungo,0
Atsugewi,0
Zazaki,0
Thur,0
Kamu,0
Kwara’ae,0
Kipfokomo,0
Viid,0
Nyamwanga,0
Nek,0
Jorá,0
Tombelala,0
Salas,0
Bhili,0
Yakaikeke,0
Nyangga,0
Waiwai,0
Githabul,0
Shixing,0
Toaripi,0
Tboli,0
Lobu,0
Yinggarda,0
Gbanziri,0
Huarijío,0
Macaguaje,0
Lamogai,0
Safwa,0
Chatino,0
Gumalu,0
Shom Peng,0
Ngoni,0
Nyong,0
Tapei,0
Nanticoke,0
Fedan,0
Kuruáya,0
Wichí Lhamtés Vejoz,0
Yamap,0
Nyankpa,0
Kogi,0
Molima,0
Kaapor Sign Language,0
Bolango,0
Bariai,0
Pei,0
Nganakarti,0
Bo,0
Axi,0
Kwang,0
Okpamheri,0
Tanacross,0
Kansa,0
Mungaka,0
Rungus,0
Plautdietsch,0
Como Karim,0
Mamuju,0
Sranan,0
Hrangkhol,0
Powari,0
Lepki,0
Sekak,0
Awar,0
Zenag,0
Tujia,0
Pogolo,0
Masaaba,0
Gurindji Kriol,0
Samtao,0
Simeku,0
Nogai,0
Tok Pisin,0
Sharanahua,0
Yawa,0
Awngi,0
Navut,0
Waskia,0
Mussau-Emira,0
Mixe,0
Nukumanu,0
Wirangu,0
Maiwala,0
Al-Sayyid Bedouin Sign Language,0
Nafaanra,0
Keapara,0
Sign Language of the Netherlands,0
Tayo,0
Mbato,0
Yardliyawarra,0
Chetco,0
Dungu,0
Aringa,0
Bata,0
Cen,0
Mbo,0
Monom,0
Yahadian,0
Mayi-Yapi,0
Tonjon,0
Sivandi,0
Usku,0
Bongili,0
Angloromani,0
Anuta,0
Delaware,0
Ayu,0
Alngith,0
Dagaare,0
Sapo,0
Molengue,0
Biak,0
Sholaga,0
Eitiep,0
Bonan,0
Chilcotin,0
Fordata,0
Riang Lai,0
Dass,0
Kaonde,0
Matsés,0
Abure,0
Ndumu,0
Karao,0
Kiribati,0
Kodeoha,0
Wumboko,0
Lunanakha,0
Muskum,0
Hawai’i Pidgin,0
Aka,0
Bardi,0
Pear,0
Susuami,0
Gao,0
Bunun,0
Rapting,0
Shuwa-Zamani,0
Lame,0
Miniafia Oyan,0
Thaypan,0
Shekhawati,0
Yabong,0
Guro,0
Assangori,0
Busa,0
Njen,0
Ninde,0
Masalit,0
Manta,0
Chepang,0
Suku,0
Madngele,0
Sunum,0
Lenje,0
Nyika,0
Dharuk,0
Ikpeng,0
Warrgamay,0
Chadian Sign Language,0
Rampi,0
Bugis,0
Dadi Dadi,0
Mada,0
Chak,0
Arpitan,0
Mor,0
Bayali,0
Achuar-Shiwiar,0
Tainae,0
Oyda,0
Yansi,0
Bhogoto,0
Mmaala,0
I-wak,0
Swiss-French Sign Language,0
Siwi,0
Ratagnon,0
Okanagan,0
Wolof,0
Karranga,0
Baga Sobané,0
Buamu,0
Zari,0
Guarani,0
Janji,0
Ginuman,0
Uzekwe,0
Erave,0
Woleaian,0
Kaike,0
Melanau,0
Maring,0
Kwama,0
Gnau,0
Shipibo-Conibo,0
Ngwaba,0
Adi,0
Sha,0
Kunda,0
Balangao,0
Wabo,0
Onjob,0
Murle,0
Dogrib,0
Kpatili,0
Anasi,0
Powhatan,0
‡Hua,0
Giziga,0
Aguna,0
Nyali,0
Extremaduran,0
Miship,0
Komba,0
Ngundi,0
Karenggapa,0
Emberá-Tadó,0
Piu,0
Mangseng,0
Kumba,0
Israeli Sign Language,0
Yeresiam,0
Anem,0
Semaq Beri,0
Pintiini,0
Gwich’in,0
Torricelli,0
Termanu,0
Tremembé,0
Koyukon,0
Portuguese Sign Language,0
Dhimal,0
Mbere,0
Muna,0
Olumarachi,0
Chumburung,0
Ghandruk Sign Language,0
Wanyi,0
Tübatulabal,0
Slovak,0
Galela,0
Krenak,0
Andarum,0
Hungana,0
Timbisha,0
Kelabit,0
Sira,0
Mentawai,0
Mbule,0
Muinane,0
Birwa,0
Jamaican Creole English,0
Romblomanon,0
Tregami,0
Sudest,0
Sindhi Bhil,0
Cara,0
Tetun Dili,0
Sikkimese,0
Nottoway,0
Bahonsuai,0
Gana,0
Maricopa,0
Tsaangi,0
Mayi-Kulan,0
War-Jaintia,0
Massep,0
Iwam,0
Nnam,0
Suganga,0
Ngandi,0
Atsam,0
Otuke,0
Apma,0
Lengola,0
Dazaga,0
Kamano,0
Yamphu,0
Ahirani,0
Kinalakna,0
Nêlêmwa-Nixumwak,0
Ronga,0
Kamayurá,0
Karipuna Creole French,0
Watakataui,0
Mirandese,0
Pangasinan,0
Cori,0
Kerinci,0
Jaunsari,0
Mba,0
Segai,0
Pallanganmiddang,0
Sawknah,0
Kwaja,0
Hawaiian,0
Chimila,0
Cappadocian Greek,0
Bazigar,0
Drung,0
Nii,0
Wagaya,0
Ahanta,0
Cerma,0
Higaonon,0
Woun Meu,0
Ivbie North-Okpela-Arhe,0
Zumaya,0
Kalenjin,0
Korak,0
Mefele,0
Iraqw,0
Kadazan Dusun,0
Aruá,0
